landscape,ignitionPoint,ignitionIndex,burnedOutCells
8,85,5196,1
8,86,38159,2472
8,87,39513,1
8,88,24814,1
8,89,6446,1
8,90,20026,1
8,91,27901,1
8,92,3320,750
8,93,2124,821
8,94,9010,1
8,95,18243,1
8,96,15810,2
8,97,2606,1
8,98,25841,4123
8,99,37544,2235
5,0,19487,1
5,1,10092,1
5,2,13474,1
5,3,29424,1
5,4,34506,1
5,5,37605,1
5,6,27854,1
5,7,6691,1
5,8,37722,1
5,9,17321,1
5,10,5831,1
5,11,25303,1
5,12,20747,1
5,13,6560,1
5,14,3428,1
5,15,38090,52
5,16,23978,1
5,17,10215,1
5,18,14017,1
5,19,28017,1
5,20,30308,1
5,21,11165,1
5,22,24808,1
5,23,11356,1
5,24,34761,1
5,25,13402,1
5,26,25180,1
5,27,14647,1
5,28,15715,1
5,29,8320,1
5,30,10689,1
5,31,13292,1
5,32,8557,1
5,33,9129,1
5,34,17707,1
5,35,29030,1
5,36,946,1
5,37,20543,1
5,38,29569,1
5,39,3633,1
5,40,26884,1
5,41,17451,1
5,42,1870,1
5,43,15357,1
5,44,3541,1
5,45,28198,1
5,46,36452,1
5,47,23042,1
5,48,24053,1
5,49,7595,1
5,50,34925,1
5,51,31805,1
5,52,4712,1
5,53,2637,1
5,54,7503,1
5,55,13912,3
5,56,25059,1
5,57,4900,1
5,58,21947,1
5,59,35431,1
5,60,32099,1
5,61,1251,1
5,62,4307,1
5,63,13326,1
5,64,24298,1
5,65,32965,1
5,66,15733,1
5,67,5697,1
5,68,35544,1
5,69,4518,1
5,70,11049,1
5,71,27236,1
5,72,2658,1
5,73,2030,1
5,74,24355,1
5,75,31057,1
5,76,6769,1
5,77,360,687
5,78,39413,1
5,79,25399,1
5,80,665,1
5,81,9073,1
5,82,1684,1
5,83,16863,1
5,84,7156,1
5,85,38091,1
5,86,388,1
5,87,2506,1
5,88,20891,1
5,89,22737,1
5,90,7843,1
5,91,13111,1
5,92,27200,1
5,93,28101,1
5,94,3600,1
5,95,27585,1
5,96,34027,1
5,97,14469,1
5,98,16054,1
5,99,1060,1
3,0,13734,72
3,1,3660,14
3,2,14210,25
3,3,22581,11592
3,4,19128,7883
3,5,27202,10822
3,6,4549,4
3,7,36564,273
3,8,37459,4
3,9,3961,10
3,10,25585,10893
3,11,26882,10825
3,12,38277,6
3,13,33614,264
3,14,32981,9511
3,15,32806,1
3,16,14576,13
3,17,8137,2
3,18,25886,7618
3,19,6099,24
3,20,32911,26
3,21,13092,18
3,22,3385,8
3,23,24795,62
3,24,10278,14
3,25,31913,41
3,26,25357,11063
3,27,19259,33
3,28,31946,5
3,29,12793,72
3,30,2638,15
3,31,27635,11322
3,32,38922,4
3,33,9768,9
3,34,8192,2
3,35,31417,1151
3,36,13561,271
3,37,24134,1
3,38,14153,26
3,39,38787,2
3,40,8857,40
3,41,28089,1
3,42,35632,12
3,43,27074,8863
3,44,7270,3
3,45,3142,98
3,46,39928,1
3,47,25135,11609
3,48,9724,42
3,49,10414,117
3,50,11539,2
3,51,39421,2
3,52,13157,827
3,53,1589,3
3,54,28229,1354
3,55,24238,10091
3,56,37507,14
3,57,21246,178
3,58,25430,1451
3,59,20610,2
3,60,37526,4
3,61,25425,123
3,62,1075,8
3,63,18186,2
3,64,6571,7
3,65,34687,6
3,66,8995,2
3,67,8922,2
3,68,18850,1
3,69,31709,44
3,70,15265,10
3,71,34780,1
3,72,33946,20
3,73,12395,1
3,74,3930,22
3,75,7426,21
3,76,17403,3
3,77,5593,3
3,78,7620,119
3,79,6995,5
3,80,31199,10116
3,81,21983,10356
3,82,8344,20
3,83,38631,5
3,84,31326,10
3,85,23882,11068
3,86,1198,34
3,87,15790,4
3,88,16692,255
3,89,11671,50
3,90,16180,24
3,91,19882,10294
3,92,38609,6
3,93,56,0
3,94,32779,11993
3,95,6269,1
3,96,26814,39
3,97,1843,0
3,98,127,2
3,99,4444,2
6,0,36611,18
6,1,26876,5815
6,2,15666,3215
6,3,24178,35
6,4,8641,8070
6,5,32403,66
6,6,34377,8
6,7,19804,24
6,8,17590,7
6,9,30641,4
6,10,15708,2
6,11,4268,14
6,12,9512,36
6,13,21911,56
6,14,29,46
6,15,13624,4999
6,16,17453,1
6,17,11000,3658
6,18,19951,7
6,19,37058,2426
6,20,31609,9
6,21,12128,18
6,22,14097,4
6,23,19899,6
6,24,20696,49
6,25,22658,8236
6,26,27092,63
6,27,18777,6
6,28,3831,9381
6,29,8732,5
6,30,6664,88
6,31,464,485
6,32,21916,3
6,33,11273,3308
6,34,14773,2
6,35,28399,33
6,36,27254,6168
6,37,2339,1
6,38,1861,6272
6,39,3034,3
6,40,17870,3
6,41,20946,15
6,42,18751,1
6,43,39392,6
6,44,5405,4989
6,45,37494,52
6,46,16366,1
6,47,4088,5036
6,48,16888,108
6,49,9005,2350
6,50,3232,2893
6,51,13789,8
6,52,8935,3
6,53,2113,27
6,54,17866,325
6,55,19075,169
6,56,29459,3932
6,57,33073,4214
6,58,1865,29
6,59,28020,41
6,60,14813,5
6,61,31514,4
6,62,24515,2
6,63,15756,27
6,64,15435,4558
6,65,13826,3605
6,66,32364,23
6,67,7309,2
6,68,29021,9
6,69,39937,6
6,70,31333,6
6,71,31008,38
6,72,126,2
6,73,27213,19
6,74,32318,15
6,75,19241,2
6,76,32086,164
6,77,21152,6
6,78,23516,5
6,79,38021,5
6,80,37756,7
6,81,13704,7
6,82,25014,70
6,83,27747,12
6,84,17417,6272
6,85,30987,4
6,86,2617,119
6,87,9148,1
6,88,20616,2
6,89,35380,3
6,90,32012,43
6,91,34672,259
6,92,11081,28
6,93,14078,413
6,94,38189,22
6,95,36927,16
6,96,8596,1194
6,97,29980,3
6,98,9914,32
6,99,4576,1367
12,0,32866,1
12,1,38812,1
12,2,26556,1
12,3,10133,1
12,4,30624,1
12,5,18211,1
12,6,24750,1
12,7,10015,1
12,8,15596,1
12,9,3221,1
12,10,21568,1
12,11,25872,1
12,12,36061,1
12,13,26507,1
12,14,24695,1
12,15,35764,1
12,16,12536,1
12,17,12031,1
12,18,13505,1
12,19,34803,0
12,20,10290,1
12,21,24682,1
12,22,14666,1
12,23,38717,105
12,24,37266,1
12,25,34238,1
12,26,26797,1
12,27,8658,1
12,28,5877,1
12,29,1277,1
12,30,28551,1
12,31,16558,1
12,32,11307,1
12,33,24756,1
12,34,26984,1
12,35,14736,1
12,36,32895,2
12,37,12120,1
12,38,25123,1
12,39,8678,1
12,40,33365,1
12,41,34747,1
12,42,17029,1
12,43,22295,1
12,44,17387,1
12,45,10155,1
12,46,25122,1
12,47,7852,1
12,48,4418,1
12,49,16424,1
12,50,30091,1
12,51,15644,1
12,52,25174,1
12,53,31743,1
12,54,25755,1
12,55,30962,1
12,56,12360,1
12,57,3399,1
12,58,11825,1
12,59,35741,1
12,60,21533,1
12,61,32439,1
12,62,16568,1
12,63,35540,1
12,64,32863,1
12,65,26723,1
12,66,16929,1
12,67,11620,1
12,68,31393,1
12,69,6737,1
12,70,24306,1
12,71,25687,1
12,72,38880,1
12,73,34172,1
12,74,23928,1
12,75,16195,1
12,76,37381,1
12,77,24548,1
12,78,34072,1
12,79,2028,1
12,80,200,1
12,81,4304,1
12,82,38148,1
12,83,18135,1
12,84,15918,1
12,85,25570,1
12,86,12169,1
12,87,17324,1
12,88,4594,1
12,89,24725,1
12,90,13252,1
12,91,12486,1
12,92,34498,1
12,93,23253,1
12,94,29556,1
12,95,3355,1
12,96,32736,1
12,97,122,3
12,98,36459,1
12,99,21955,1
2,0,6108,6863
2,1,21372,102
2,2,4040,3
2,3,5067,19
2,4,38389,1
2,5,13350,6061
2,6,34606,1
2,7,39719,14
2,8,19847,1
2,9,35068,20
2,10,30094,6
2,11,21086,6
2,12,5434,1
2,13,26614,1
2,14,18514,6065
2,15,416,1
2,16,39067,6
2,17,8399,1
2,18,14530,5885
2,19,21231,1
2,20,6678,6652
2,21,37647,3
2,22,38599,1
2,23,27642,22
2,24,32256,13
2,25,36214,1
2,26,23562,21
2,27,20635,1
2,28,25553,1463
2,29,15362,10123
2,30,29179,3
2,31,10026,1
2,32,5807,4
2,33,37150,1217
2,34,8430,3
2,35,3324,6109
2,36,8997,3
2,37,32615,1
2,38,30367,14
2,39,38588,1
2,40,20402,1
2,41,155,46
2,42,30358,4011
2,43,8419,4
2,44,33342,16
2,45,6240,2
2,46,4134,6381
2,47,34583,9
2,48,7336,7271
2,49,38767,40
2,50,39759,3725
2,51,7966,9
2,52,27898,9636
2,53,13531,6540
2,54,32899,2843
2,55,509,5035
2,56,37758,3385
2,57,6402,5
2,58,32070,8
2,59,31473,3
2,60,6314,1
2,61,10062,115
2,62,35694,2867
2,63,31113,25
2,64,15734,1
2,65,2856,73
2,66,14538,71
2,67,36126,1611
2,68,39694,18
2,69,5947,1
2,70,37791,19
2,71,25136,227
2,72,6435,7
2,73,9888,7416
2,74,21133,6435
2,75,2271,3
2,76,12508,1
2,77,12523,6486
2,78,1105,6725
2,79,12419,1
2,80,1131,6742
2,81,10193,1
2,82,1572,1
2,83,15592,11
2,84,34746,2461
2,85,6965,19
2,86,28608,22
2,87,31337,2382
2,88,835,5
2,89,17102,3
2,90,38786,6
2,91,13735,6032
2,92,19903,27
2,93,32949,258
2,94,17643,1
2,95,8167,10
2,96,31670,10
2,97,32464,30
2,98,39296,3
2,99,20166,17
1,0,28985,6
1,1,4588,13
1,2,1847,2
1,3,10313,5
1,4,24254,32
1,5,14904,1
1,6,24434,27
1,7,26606,1
1,8,39978,250
1,9,21748,10
1,10,16569,6
1,11,38473,10
1,12,20317,1
1,13,11263,3
1,14,25562,293
1,15,21234,2
1,16,5592,29
1,17,11262,1
1,18,8596,1
1,19,12189,16
1,20,5376,7
1,21,332,22
1,22,9310,4
1,23,19099,4
1,24,2674,19
1,25,26959,1
1,26,25298,50
1,27,20153,2
1,28,37437,6
1,29,11302,1
1,30,33205,23
1,31,22854,1
1,32,28800,2
1,33,35006,70
1,34,11363,1
1,35,3955,1
1,36,22689,3
1,37,10820,76
1,38,18075,5
1,39,2834,63
1,40,29415,3
1,41,36660,1
1,42,13477,2
1,43,20737,4
1,44,31477,3648
1,45,592,32
1,46,24220,1
1,47,9888,1
1,48,14500,3
1,49,37357,258
1,50,31452,2
1,51,22333,1
1,52,23676,30
1,53,14055,3
1,54,22536,57
1,55,35345,3674
1,56,33358,1
1,57,18229,1
1,58,8504,17
1,59,38884,2
1,60,23600,8
1,61,16151,1
1,62,15486,1
1,63,28683,8
1,64,24598,31
1,65,21996,12
1,66,37908,3393
1,67,34514,3607
1,68,9865,1
1,69,10528,1
1,70,13859,1
1,71,17716,0
1,72,12615,4
1,73,21058,8
1,74,9522,1
1,75,14087,0
1,76,27192,47
1,77,31731,3328
1,78,17001,7
1,79,39797,33
1,80,7688,1
1,81,5562,1
1,82,18241,43
1,83,4708,4
1,84,24485,3
1,85,14069,2
